SprPrec 	SumPrec 
75.43000031	125.4700012
56.13000107	94.98999786
65.01999664	112.2600021
58.66999817	70.34999847
87.62999725	81.77999878
57.15000153	95.25
31.48999977	62.99000168
75.43000031	125.4700012
56.13000107	94.98999786
65.01999664	112.2600021
58.66999817	70.34999847
87.62999725	81.77999878
57.15000153	95.25
31.48999977	62.99000168
107.9499969	181.6100006
73.40000153	125.7300034
83.05000305	121.1500015
65.77999878	88.63999939
87.12000275	133.0899963
101.3399963	120.1399994
60.45000076	125.2200012
36.06000137	72.38999939
107.9499969	181.6100006
73.40000153	125.7300034
83.05000305	121.1500015
65.77999878	88.63999939
87.12000275	133.0899963
101.3399963	120.1399994
60.45000076	125.2200012
36.06000137	72.38999939
101.8499985	134.8699951
118.6100006	161.7899933
77.72000122	151.3800049
23.87000084	91.44000244
80.26000214	110.4899979
107.9499969	119.1200027
65.77999878	125.2200012
77.47000122	108.7099991
101.8499985	134.8699951
118.6100006	161.7899933
77.72000122	151.3800049
23.87000084	91.44000244
80.26000214	110.4899979
107.9499969	119.1200027
65.77999878	125.2200012
77.47000122	108.7099991
118.6100006	161.7899933
77.72000122	151.3800049
23.87000084	91.44000244
80.26000214	110.4899979
65.77999878	125.2200012
77.47000122	108.7099991
118.6100006	161.7899933
77.72000122	151.3800049
23.87000084	91.44000244
80.26000214	110.4899979
65.77999878	125.2200012
77.47000122	108.7099991
